"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 00:00","2018","07","01","00:00","23.8","","23.4","","97","","","","30","","5","","24.1","","100.33","","34","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 01:00","2018","07","01","01:00","23.9","","23.2","","96","","","","26","","5","","24.1","","100.35","","34","","","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 02:00","2018","07","01","02:00","24.2","","23.1","","94","","","","25","","4","","24.1","","100.39","","35","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 03:00","2018","07","01","03:00","23.7","","23.0","","96","","","","23","","6","","24.1","","100.39","","34","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 04:00","2018","07","01","04:00","22.2","","22.1","","99","","","","28","","5","","16.1","","100.42","","32","","","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 05:00","2018","07","01","05:00","22.7","","22.7","","100","","","","25","","5","","4.8","","100.49","","33","","","","Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 06:00","2018","07","01","06:00","23.8","","23.4","","97","","","","23","","4","","8.1","","100.55","","34","","","","Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 07:00","2018","07","01","07:00","24.5","","23.9","","97","","","","29","","3","","8.1","","100.58","","36","","","","Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 08:00","2018","07","01","08:00","26.7","","24.0","","85","","","","33","","3","","16.1","","100.62","","38","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 09:00","2018","07","01","09:00","28.5","","23.2","","72","","","","15","","6","","32.2","","100.60","","39","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 10:00","2018","07","01","10:00","29.6","","23.8","","71","","","","","","0","","24.1","","100.60","","41","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 11:00","2018","07","01","11:00","30.1","","23.9","","68","","","","8","","5","","24.1","","100.63","","41","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 12:00","2018","07","01","12:00","30.4","","23.5","","66","","","","21","","4","","24.1","","100.59","","41","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 13:00","2018","07","01","13:00","31.7","","25.0","","67","","","","16","","10","","24.1","","100.52","","44","","","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 14:00","2018","07","01","14:00","32.1","","24.5","","64","","","","14","","10","","32.2","","100.48","","44","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 15:00","2018","07","01","15:00","31.9","","25.5","","69","","","","18","","8","","32.2","","100.47","","45","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 16:00","2018","07","01","16:00","32.5","","25.2","","65","","","","13","","10","","24.1","","100.43","","45","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 17:00","2018","07","01","17:00","32.0","","25.3","","67","","","","14","","9","","24.1","","100.39","","45","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2018-07-01 18:00","2018","07","01","18:00","31.0","","25.2","","71","","","","16","","11","","32.2","","100.38","","44","","","","NA"
